Event;Longitude;Latitude;ID;Location;Type;Dist shore [m];w [m]
SOCP-001;178.3286799;-16.83091600;1;Yadua (FJ);Lagoon;291.98742030;35
SOCP-001;178.3312221;-16.81393222;2;Yadua (FJ);Lagoon;451.68366490;50
SOCP-001;178.3066847;-16.80109123;3;Yadua (FJ);Coastal;86.01195408;20
SOCP-001;178.2966518;-16.79998938;4;Yadua (FJ);Coastal;53.92149316;20
SOCP-001;178.3045724;-16.83191936;5;Yadua (FJ);Coastal;264.92509860;5
SOCP-002;-179.3206841;-17.77181355;6;Cicia (FJ);Lagoon;266.88683850;10
SOCP-002;-179.3410226;-17.72734811;7;Cicia (FJ);Lagoon;344.18334170;23
SOCP-002;-179.2903872;-17.72196897;8;Cicia (FJ);Lagoon;439.28121770;95
SOCP-003;179.3675453;-18.07296746;9;Gau (FJ);Lagoon;446.41529580;130
SOCP-003;179.3551498;-18.04142350;10;Gau (FJ);Lagoon;421.40762340;200
SOCP-003;179.3548819;-18.02741796;11;Gau (FJ);Lagoon;316.92356100;50
SOCP-003;179.3491340;-17.99775301;12;Gau (FJ);Lagoon;821.05186040;175
SOCP-003;179.3374725;-17.97405777;13;Gau (FJ);Lagoon;1162.69848200;120
SOCP-003;179.3270588;-17.94789710;14;Gau (FJ);Lagoon;1550.13178900;150
SOCP-003;179.2531486;-17.94984694;15;Gau (FJ);Coastal;890.73356470;160
SOCP-003;179.2032305;-17.99750056;16;Gau (FJ);Open Water;3519.20886600;3800
SOCP-003;179.2622945;-18.08429996;17;Gau (FJ);Open Water;4388.86872800;175
SOCP-003;179.3572649;-18.05428283;18;Gau (FJ);Lagoon;395.00864380;100
SOCP-003;179.2645491;-17.94389927;19;Gau (FJ);Coastal;446.36443490;470
SOCP-005;166.2521695;-22.35674939;20;Grande Terre (NC);Open Water;17169.77452000;1500
SOCP-005;166.0992570;-22.16970562;21;Grande Terre (NC);Open Water;8182.97738400;1500
SOCP-005;165.9582081;-22.02531527;22;Grande Terre (NC);Lagoon;7739.39200600;1700
SOCP-005;165.7614671;-21.89753560;23;Grande Terre (NC);Lagoon;6560.55175400;850
SOCP-005;165.7247601;-21.85509456;24;Grande Terre (NC);Lagoon;6883.86903600;750
SOCP-005;165.6315523;-21.80000915;25;Grande Terre (NC);Lagoon;5387.02306200;500
SOCP-005;165.4378844;-21.65131822;26;Grande Terre (NC);Lagoon;3137.95512600;2225
SOCP-005;165.3383826;-21.61261718;27;Grande Terre (NC);Lagoon;2061.40606600;90
SOCP-005;165.2339151;-21.54805216;28;Grande Terre (NC);Lagoon;2847.22391000;500
SOCP-005;165.2111289;-21.54277245;29;Grande Terre (NC);Lagoon;3752.33115400;250
SOCP-005;165.0520137;-21.44386159;30;Grande Terre (NC);Lagoon;5676.65973200;900
SOCP-005;164.9506203;-21.39749328;31;Grande Terre (NC);Lagoon;4337.25063300;600
SOCP-005;164.7846404;-21.26059471;32;Grande Terre (NC);Lagoon;9468.30195400;850
SOCP-005;164.7613228;-21.22960785;33;Grande Terre (NC);Lagoon;8884.93060800;1000
SOCP-005;164.7083042;-21.12717659;34;Grande Terre (NC);Lagoon;4045.34948400;400
SOCP-005;164.6078595;-21.00071753;35;Grande Terre (NC);Lagoon;5093.67322700;880
SOCP-005;164.4205181;-20.94457746;36;Grande Terre (NC);Lagoon;11488.32572000;420
SOCP-005;164.2532082;-20.74220542;37;Grande Terre (NC);Lagoon;12169.59027000;3100
SOCP-005;164.2496910;-20.67960143;38;Grande Terre (NC);Lagoon;8872.24800000;700
SOCP-005;163.8835754;-20.25262596;39;Grande Terre (NC);Open Water;12119.02999000;2900
SOCP-005;163.7804928;-20.11017575;40;Grande Terre (NC);Open Water;22417.94363000;175
SOCP-005;163.7687207;-20.08612773;41;Grande Terre (NC);Open Water;23708.81050000;2100
SOCP-005;163.4841648;-19.80010095;42;Grande Terre (NC);Open Water;18359.34078000;160
SOCP-005;163.3610094;-19.63193466;43;Grande Terre (NC);Open Water;27174.68716000;750
SOCP-005;163.8703307;-19.47480205;44;Grande Terre (NC);Open Water;29987.61703000;400
SOCP-005;163.9022107;-19.56398189;45;Grande Terre (NC);Open Water;27569.82575000;125
SOCP-005;163.9298327;-19.60234188;46;Grande Terre (NC);Open Water;28476.11030000;230
SOCP-005;163.9438623;-19.62060098;47;Grande Terre (NC);Open Water;28754.65454000;1200
SOCP-005;163.9533458;-19.63879415;48;Grande Terre (NC);Open Water;28807.08410000;70
SOCP-005;163.9685787;-19.65683145;49;Grande Terre (NC);Open Water;29611.93561000;175
SOCP-005;163.9760309;-19.66391910;50;Grande Terre (NC);Open Water;30144.24096000;150
SOCP-005;163.9987022;-19.69851114;51;Grande Terre (NC);Open Water;31401.31854000;300
SOCP-005;164.0033344;-19.71141979;52;Grande Terre (NC);Open Water;31623.88878000;450
SOCP-005;164.0063040;-19.74665100;53;Grande Terre (NC);Open Water;31567.51763000;2000
SOCP-005;164.0329733;-19.78102903;54;Grande Terre (NC);Open Water;32733.10021000;780
SOCP-005;164.4337745;-20.21086523;55;Grande Terre (NC);Lagoon;5936.02763500;1300
SOCP-005;164.4825416;-20.22151872;56;Grande Terre (NC);Lagoon;7138.99690900;1100
SOCP-005;164.6256003;-20.34980790;57;Grande Terre (NC);Lagoon;3994.68478700;1100
SOCP-005;164.7454672;-20.42657087;58;Grande Terre (NC);Lagoon;5593.67119900;1200
SOCP-005;164.8210337;-20.52751487;59;Grande Terre (NC);Lagoon;3041.44076900;830
SOCP-005;166.4514760;-22.52616911;60;Grande Terre (NC);Open Water;23692.10458000;3400
SOCP-005;166.6238155;-22.66252726;61;Grande Terre (NC);Open Water;33239.04887000;900
SOCP-005;166.6459799;-22.68113092;62;Grande Terre (NC);Open Water;34440.20649000;900
SOCP-005;166.6767595;-22.70074688;63;Grande Terre (NC);Open Water;35600.32927000;570
SOCP-005;166.6873689;-22.70961560;64;Grande Terre (NC);Open Water;36268.38009000;550
SOCP-005;166.6928720;-22.72761538;65;Grande Terre (NC);Open Water;38081.49803000;310
SOCP-005;166.6966130;-22.74333713;66;Grande Terre (NC);Open Water;39707.17175000;1500
SOCP-005;166.7416476;-22.79238072;67;Grande Terre (NC);Open Water;44484.41675000;320
SOCP-005;166.7838969;-22.83893723;68;Grande Terre (NC);Open Water;49544.20924000;1300
SOCP-005;166.8148705;-22.86738744;69;Grande Terre (NC);Open Water;52855.58733000;250
SOCP-005;166.8230148;-22.87867975;70;Grande Terre (NC);Open Water;54163.20904000;310
SOCP-005;166.8673467;-22.91656179;71;Grande Terre (NC);Open Water;57866.75595000;550
SOCP-005;166.8970481;-22.93022986;72;Grande Terre (NC);Open Water;59248.90045000;650
SOCP-005;167.0356813;-22.32950605;73;Grande Terre (NC);Lagoon;2690.12609100;380
SOCP-005;167.0436031;-22.26883878;74;Grande Terre (NC);Lagoon;2194.88671000;550
SOCP-005;166.9938232;-22.20279741;75;Grande Terre (NC);Lagoon;107.33348940;100
SOCP-005;166.9503507;-22.13096993;76;Grande Terre (NC);Lagoon;298.83218890;60
SOCP-005;166.9190237;-22.07037267;77;Grande Terre (NC);Lagoon;360.35632550;90
SOCP-005;166.9107543;-22.06178229;78;Grande Terre (NC);Lagoon;422.80333870;110
SOCP-005;166.9061175;-22.05538063;79;Grande Terre (NC);Lagoon;465.53069250;200
SOCP-005;166.8902736;-22.04278300;80;Grande Terre (NC);Lagoon;335.29435010;200
SOCP-005;166.7792330;-22.01242266;81;Grande Terre (NC);Coastal;64.13695313;140
SOCP-004;168.4611682;-17.81568500;82;Efate (VU);Lagoon;169.72572140;12
SOCP-004;168.4773935;-17.81387311;83;Efate (VU);Lagoon;30.97380380;75
SOCP-004;168.4558658;-17.53862384;84;Efate (VU);Coastal;177.89207020;10
SOCP-004;168.4609253;-17.55352233;85;Efate (VU);Coastal;69.07937744;15
SOCP-004;168.4672492;-17.56670707;86;Efate (VU);Coastal;121.41389520;165
SOCP-004;168.5794116;-17.71900709;87;Efate (VU);Coastal;36.56688305;10
SOCP-004;168.5635246;-17.73877082;88;Efate (VU);Lagoon;83.28045391;20
SOCP-004;168.4548218;-17.81328728;89;Efate (VU);Coastal;156.19346190;120
SOCP-006;178.0537215;-19.16657281;90;Kadavu (FJ);Lagoon;963.65542750;70
SOCP-006;178.0328451;-19.15705406;91;Kadavu (FJ);Lagoon;1185.75804900;250
SOCP-006;178.0804576;-19.16756791;92;Kadavu (FJ);Lagoon;675.72873020;160
SOCP-006;178.1338507;-19.16001240;93;Kadavu (FJ);Lagoon;1000.82244100;170
SOCP-006;178.2267516;-19.08953831;94;Kadavu (FJ);Lagoon;3889.16549300;180
SOCP-006;178.2752851;-19.05021602;95;Kadavu (FJ);Lagoon;3910.77277200;270
SOCP-006;178.3365773;-19.06515298;96;Kadavu (FJ);Lagoon;1442.00961800;130
SOCP-006;178.4345150;-19.05847984;97;Kadavu (FJ);Lagoon;1733.07711800;180
SOCP-006;178.4597799;-19.04782931;98;Kadavu (FJ);Lagoon;1123.93179600;350
SOCP-006;178.4985398;-19.01326277;99;Kadavu (FJ);Open Water;1809.04301300;140
SOCP-006;178.5022511;-18.70641635;100;Kadavu (FJ);Open Water;3080.40849300;700
SOCP-006;178.2182202;-19.09796359;101;Kadavu (FJ);Lagoon;3996.34140800;630
SOCP-007;167.5713907;-16.20295847;102;Malekula (VU);Coastal;289.48902170;60
SOCP-007;167.6077093;-16.22510191;103;Malekula (VU);Coastal;287.81715680;140
SOCP-007;167.7419060;-16.33466142;104;Malekula (VU);Coastal;194.02332640;65
SOCP-007;167.7467603;-16.33920142;105;Malekula (VU);Coastal;194.16985790;80
SOCP-007;167.1775640;-15.90537014;106;Malekula (VU);Coastal;25.32554312;25
SOCP-008;178.9851622;-17.44319433;107;Makogai (FJ);Lagoon;575.68360560;40
SOCP-008;178.9624946;-17.41540150;108;Makogai (FJ);Open Water;865.13887340;50
SOCP-008;178.9149784;-17.44385715;109;Makogai (FJ);Open Water;3517.87604100;300
SOCP-008;178.9597972;-17.41397490;110;Makogai (FJ);Open Water;712.91597010;30
SOCP-008;178.9120087;-17.44832918;111;Makogai (FJ);Open Water;3888.39336700;230
SOCP-008;178.9829763;-17.45260062;112;Makogai (FJ);Lagoon;554.75561650;50
SOCP-009;-179.1408877;-17.24596011;113;Kanacea (FJ);Lagoon;479.43648050;90
